                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.6178,                 1.8825,                 2.2024,                0.67257,                0.62317,                0.64665,                0.31269,                 1.7959,                 1.6784,                   2.34,               0.000218,               0.000218,               0.000218
                    102,                  1.533,                 1.6493,                 2.1017,                0.61311,                0.62921,                0.64636,                0.30235,                 1.8126,                 1.8484,                 2.3472,                 0.0002,                 0.0002,                 0.0002
                    103,                 1.5064,                 1.5049,                 2.0856,                0.51767,                0.58427,                0.59276,                0.32126,                  1.768,                 1.8132,                 2.3228,               0.000182,               0.000182,               0.000182
                    104,                 1.4998,                 1.4339,                 2.0896,                0.68626,                0.61445,                0.64741,                0.33873,                 1.7834,                 1.6201,                 2.3683,               0.000164,               0.000164,               0.000164
                    105,                 1.4973,                 1.4396,                 2.0642,                 0.6855,                0.66127,                 0.6578,                0.33236,                 1.7899,                 1.6099,                 2.3661,               0.000146,               0.000146,               0.000146
                    106,                 1.4718,                 1.4257,                 2.0441,                0.62563,                0.65722,                0.64346,                 0.3334,                 1.8143,                 1.6427,                 2.3924,               0.000128,               0.000128,               0.000128
                    107,                 1.4526,                 1.3783,                  2.034,                0.63238,                0.64045,                0.62787,                0.31348,                 1.8642,                 1.6881,                 2.4407,                0.00011,                0.00011,                0.00011
                    108,                 1.4713,                 1.3794,                 2.0557,                0.70156,                0.60751,                0.64276,                0.32833,                 1.8302,                 1.6735,                 2.4151,                9.2e-05,                9.2e-05,                9.2e-05
                    109,                 1.4417,                 1.3493,                 2.0372,                0.74503,                0.61798,                0.65065,                0.33063,                 1.7855,                 1.6146,                 2.3582,                7.4e-05,                7.4e-05,                7.4e-05
                    110,                 1.4384,                 1.3739,                 2.0503,                0.72321,                0.64045,                0.67738,                0.33809,                 1.7686,                 1.5917,                 2.3311,                5.6e-05,                5.6e-05,                5.6e-05
